#case_id:recorder_probe; note:all_closed
#f[Hz] abs(Y) angle(Y)[rad]
860 2.24237505e-7 -1.56226869e+0
865 2.09396286e-7 -1.56183456e+0
870 1.94007388e-7 -1.56122640e+0
875 1.77891847e-7 -1.56036702e+0
880 1.60835654e-7 -1.55912831e+0
885 1.42576577e-7 -1.55728368e+0
890 1.22785606e-7 -1.55439622e+0
895 1.01040245e-7 -1.54951324e+0
900 7.67855123e-8 -1.54012027e+0
905 4.92798131e-8 -1.51686720e+0
910 1.76123475e-8 -1.39395482e+0
915 2.07289330e-8 1.38869910e+0
920 6.64227366e-8 1.49926847e+0
925 1.24033275e-7 1.51995163e+0
930 1.99496243e-7 1.52633717e+0
935 3.03814011e-7 1.52669485e+0
940 4.59315257e-7 1.52228196e+0
945 7.19188833e-7 1.51121884e+0
950 1.24868764e-6 1.48515821e+0
955 2.93977117e-6 1.39652105e+0
960 1.50454101e-5 -6.63633613e-1
965 2.79254178e-6 -1.43749807e+0
970 1.60048675e-6 -1.50019598e+0
975 1.16539197e-6 -1.52249440e+0
980 9.38969741e-7 -1.53377675e+0
985 7.99285235e-7 -1.54052219e+0
990 7.03896177e-7 -1.54497366e+0
995 6.34162380e-7 -1.54811054e+0
1000 5.80612502e-7 -1.55042715e+0
1005 5.37922935e-7 -1.55219915e+0
1010 5.02870184e-7 -1.55359196e+0
1015 4.73387074e-7 -1.55471053e+0
1020 4.48085813e-7 -1.55562446e+0
1025 4.25999012e-7 -1.55638157e+0
1030 4.06430655e-7 -1.55701565e+0
1035 3.88866146e-7 -1.55755111e+0
1040 3.72915781e-7 -1.55800593e+0
1045 3.58277966e-7 -1.55839346e+0
1050 3.44714560e-7 -1.55872370e+0
1055 3.32033879e-7 -1.55900410e+0
1060 3.20078693e-7 -1.55924011e+0
1065 3.08717533e-7 -1.55943554e+0
1070 2.97838255e-7 -1.55959279e+0
1075 2.87343129e-7 -1.55971297e+0
1080 2.77145001e-7 -1.55979589e+0
1085 2.67164174e-7 -1.55984002e+0
1090 2.57325760e-7 -1.55984229e+0
1095 2.47557326e-7 -1.55979774e+0
1100 2.37786656e-7 -1.55969902e+0
1105 2.27939493e-7 -1.55953560e+0
1110 2.17937105e-7 -1.55929249e+0
1115 2.07693496e-7 -1.55894836e+0
1120 1.97112036e-7 -1.55847248e+0
1125 1.86081220e-7 -1.55781962e+0
1130 1.74469119e-7 -1.55692144e+0
1135 1.62115891e-7 -1.55567099e+0
1140 1.48823401e-7 -1.55389313e+0
1145 1.34340443e-7 -1.55128369e+0
1150 1.18341166e-7 -1.54727157e+0
1155 1.00392826e-7 -1.54066075e+0
1160 7.99069226e-8 -1.52850224e+0
1165 5.60682813e-8 -1.50121523e+0
1170 2.78057831e-8 -1.40196418e+0
1175 9.59667290e-9 9.14568135e-1
1180 5.26860939e-8 1.42347262e+0
1185 1.11812577e-7 1.47327905e+0
1190 1.95455671e-7 1.48568330e+0
1195 3.24132396e-7 1.48320565e+0
1200 5.50344215e-7 1.46593887e+0
1205 1.05869891e-6 1.41587522e+0
1210 3.20525670e-6 1.18114608e+0
1215 4.28213471e-6 -1.12511078e+0
1220 1.61667906e-6 -1.42741109e+0
1225 1.05470170e-6 -1.48672582e+0
1230 8.13487132e-7 -1.51123668e+0
1235 6.78760506e-7 -1.52439719e+0
1240 5.92213163e-7 -1.53250396e+0
1245 5.31515428e-7 -1.53794370e+0
1250 4.86283754e-7 -1.54181458e+0
1255 4.51035485e-7 -1.54468972e+0
1260 4.22602206e-7 -1.54689611e+0
1265 3.99024523e-7 -1.54863315e+0
1270 3.79024830e-7 -1.55002886e+0
1275 3.61733730e-7 -1.55116884e+0
1280 3.46538302e-7 -1.55211230e+0
1285 3.32993271e-7 -1.55290125e+0
1290 3.20766615e-7 -1.55356621e+0
1295 3.09604946e-7 -1.55412966e+0
1300 2.99310759e-7 -1.55460840e+0
1305 2.89727019e-7 -1.55501500e+0
1310 2.80726452e-7 -1.55535887e+0
1315 2.72203911e-7 -1.55564696e+0
1320 2.64070807e-7 -1.55588414e+0
1325 2.56250937e-7 -1.55607359e+0
1330 2.48677280e-7 -1.55621688e+0
1335 2.41289448e-7 -1.55631408e+0
1340 2.34031584e-7 -1.55636363e+0
1345 2.26850546e-7 -1.55636223e+0
1350 2.19694247e-7 -1.55630443e+0
1355 2.12510034e-7 -1.55618212e+0
1360 2.05243009e-7 -1.55598372e+0
1365 1.97834172e-7 -1.55569290e+0
1370 1.90218227e-7 -1.55528666e+0
1375 1.82320903e-7 -1.55473233e+0
1380 1.74055505e-7 -1.55398271e+0
1385 1.65318341e-7 -1.55296811e+0
1390 1.55982488e-7 -1.55158247e+0
1395 1.45889033e-7 -1.54965828e+0
1400 1.34834469e-7 -1.54691808e+0
1405 1.22552060e-7 -1.54287315e+0
1410 1.08683567e-7 -1.53658932e+0
1415 9.27353802e-8 -1.52606414e+0
1420 7.40102002e-8 -1.50619481e+0
1425 5.15134845e-8 -1.45947967e+0
1430 2.40967825e-8 -1.26816391e+0
1435 1.64931693e-8 9.53964941e-1
1440 6.44660685e-8 1.35808557e+0
1445 1.36820917e-7 1.41429657e+0
1450 2.54076047e-7 1.41964648e+0
1455 4.78437120e-7 1.39011150e+0
1460 1.08059301e-6 1.27691855e+0
1465 4.58866509e-6 3.16141485e-1
1470 1.76334339e-6 -1.26752680e+0
1475 9.74246455e-7 -1.42963940e+0
1480 7.11200624e-7 -1.48026538e+0
1485 5.80111390e-7 -1.50420735e+0
1490 5.01194310e-7 -1.51787987e+0
1495 4.48124081e-7 -1.52659102e+0
1500 4.09721367e-7 -1.53255626e+0
1505 3.80436058e-7 -1.53685638e+0
1510 3.57201247e-7 -1.54007777e+0
1515 3.38184003e-7 -1.54256416e+0
1520 3.22221032e-7 -1.54452934e+0
1525 3.08537942e-7 -1.54611258e+0
1530 2.96598725e-7 -1.54740808e+0
1535 2.86020045e-7 -1.54848153e+0
1540 2.76519960e-7 -1.54937991e+0
1545 2.67885931e-7 -1.55013751e+0
1550 2.59954154e-7 -1.55077975e+0
1555 2.52595778e-7 -1.55132567e+0
1560 2.45707461e-7 -1.55178965e+0
1565 2.39204725e-7 -1.55218249e+0
1570 2.33017180e-7 -1.55251222e+0
1575 2.27084993e-7 -1.55278464e+0
1580 2.21356223e-7 -1.55300358e+0
1585 2.15784740e-7 -1.55317121e+0
1590 2.10328553e-7 -1.55328804e+0
1595 2.04948414e-7 -1.55335291e+0
1600 1.99606582e-7 -1.55336284e+0
1605 1.94265675e-7 -1.55331273e+0
1610 1.88887532e-7 -1.55319486e+0
1615 1.83432011e-7 -1.55299819e+0
1620 1.77855637e-7 -1.55270720e+0
