#case_id:flow_probe; note:all_closed
#f[Hz] abs(Y) angle(Y)[rad]
870 3.49337692e-7 -1.55919853e+0
875 3.01536557e-7 -1.55803736e+0
880 2.56454551e-7 -1.55642325e+0
885 2.13564077e-7 -1.55411991e+0
890 1.72418683e-7 -1.55067669e+0
895 1.32633039e-7 -1.54512166e+0
900 9.38688602e-8 -1.53491375e+0
905 5.58312252e-8 -1.51066543e+0
910 1.83766332e-8 -1.38652419e+0
915 1.97585219e-8 1.39767048e+0
920 5.72338218e-8 1.51021134e+0
925 9.52748562e-8 1.53348571e+0
930 1.34041930e-7 1.54340086e+0
935 1.73830575e-7 1.54880772e+0
940 2.14978805e-7 1.55214498e+0
945 2.57871359e-7 1.55435315e+0
950 3.02953798e-7 1.55586980e+0
955 3.50752433e-7 1.55692405e+0
960 4.01901343e-7 1.55764523e+0
965 4.57179421e-7 1.55810933e+0
970 5.17562253e-7 1.55836084e+0
975 5.84296505e-7 1.55842361e+0
980 6.59009367e-7 1.55830612e+0
985 7.43874244e-7 1.55800345e+0
990 8.41869885e-7 1.55749667e+0
995 9.57201044e-7 1.55674958e+0
1000 1.09601209e-6 1.55570167e+0
1005 1.26766306e-6 1.55425431e+0
1010 1.48716388e-6 1.55224374e+0
1015 1.78021165e-6 1.54938443e+0
1020 2.19478241e-6 1.54513818e+0
1025 2.83197626e-6 1.53836523e+0
1030 3.94765557e-6 1.52617307e+0
1035 6.43104067e-6 1.49848318e+0
1040 1.68528016e-5 1.38003311e+0
1045 2.51347377e-5 -1.28153979e+0
1050 7.39203106e-6 -1.48546735e+0
1055 4.29718265e-6 -1.52007565e+0
1060 3.01244210e-6 -1.53415065e+0
1065 2.30561718e-6 -1.54166921e+0
1070 1.85580149e-6 -1.54625995e+0
1075 1.54249788e-6 -1.54928098e+0
1080 1.31030801e-6 -1.55135294e+0
1085 1.13019857e-6 -1.55279713e+0
1090 9.85480006e-7 -1.55379379e+0
1095 8.65872063e-7 -1.55444871e+0
