#case_id:base2; note:all_open
#f[Hz] abs(Y) angle(Y)[rad]
870 1.83910501e-6 1.30213470e+0
875 4.17823491e-6 1.12829129e+0
880 1.21028332e-5 -3.21609068e-1
885 4.17985454e-6 -1.30238384e+0
890 2.40247669e-6 -1.44131897e+0
895 1.71321202e-6 -1.48968500e+0
900 1.34162134e-6 -1.51305127e+0
905 1.10446897e-6 -1.52627071e+0
910 9.36738157e-7 -1.53445560e+0
915 8.09600855e-7 -1.53980231e+0
920 7.08307477e-7 -1.54339310e+0
925 6.24513333e-7 -1.54581117e+0
930 5.53129717e-7 -1.54738846e+0
935 4.90866624e-7 -1.54831730e+0
940 4.35494102e-7 -1.54870414e+0
945 3.85440085e-7 -1.54859530e+0
950 3.39558358e-7 -1.54798695e+0
955 2.96988086e-7 -1.54682285e+0
960 2.57065250e-7 -1.54497859e+0
965 2.19264817e-7 -1.54222320e+0
970 1.83161880e-7 -1.53813359e+0
975 1.48405033e-7 -1.53189173e+0
980 1.14698428e-7 -1.52173516e+0
985 8.17925481e-8 -1.50311117e+0
990 4.94981305e-8 -1.45970525e+0
995 1.79672392e-8 -1.26037760e+0
1000 1.58482963e-8 1.21421227e+0
1005 4.72192960e-8 1.45151225e+0
1010 7.93940422e-8 1.49831013e+0
1015 1.12115472e-7 1.51790748e+0
1020 1.45546056e-7 1.52850267e+0
1025 1.79901943e-7 1.53501242e+0
1030 2.15431715e-7 1.53931269e+0
1035 2.52419315e-7 1.54227097e+0
1040 2.91193031e-7 1.54434035e+0
1045 3.32138473e-7 1.54577724e+0
1050 3.75716132e-7 1.54673395e+0
1055 4.22485132e-7 1.54730248e+0
1060 4.73135884e-7 1.54753662e+0
1065 5.28535848e-7 1.54746343e+0
1070 5.89795114e-7 1.54708877e+0
1075 6.58362723e-7 1.54639911e+0
1080 7.36172086e-7 1.54536017e+0
1085 8.25867570e-7 1.54391220e+0
1090 9.31170637e-7 1.54196056e+0
1095 1.05749738e-6 1.53935846e+0
1100 1.21305493e-6 1.53587537e+0
1105 1.41091394e-6 1.53113655e+0
1110 1.67324653e-6 1.52449847e+0
1115 2.04092042e-6 1.51476590e+0
1120 2.59842595e-6 1.49945436e+0
1125 3.55289118e-6 1.47243999e+0
1130 5.57872321e-6 1.41358831e+0
1135 1.26217154e-5 1.19983483e+0
1140 2.35607565e-5 -7.97976194e-1
1145 7.14231781e-6 -1.34879292e+0
1150 4.03431391e-6 -1.43990216e+0
1155 2.77220396e-6 -1.47566279e+0
1160 2.08610727e-6 -1.49427319e+0
1165 1.65210343e-6 -1.50531562e+0
1170 1.35047631e-6 -1.51229221e+0
1175 1.12679620e-6 -1.51676515e+0
1180 9.52763026e-7 -1.51951308e+0
1185 8.12199424e-7 -1.52093908e+0
1190 6.95176556e-7 -1.52123484e+0
1195 5.95251004e-7 -1.52044731e+0
1200 5.08046505e-7 -1.51849516e+0
1205 4.30474092e-7 -1.51514600e+0
1210 3.60278732e-7 -1.50994086e+0
1215 2.95763693e-7 -1.50201472e+0
1220 2.35617800e-7 -1.48965760e+0
1225 1.78808963e-7 -1.46909011e+0
1230 1.24539865e-7 -1.43018083e+0
1235 7.23790733e-8 -1.33420722e+0
1240 2.47988971e-8 -8.33906876e-1
1245 3.71937748e-8 1.10989543e+0
1250 8.68839737e-8 1.37862865e+0
1255 1.39197081e-7 1.44964139e+0
1260 1.93426004e-7 1.48153547e+0
1265 2.50103262e-7 1.49927376e+0
1270 3.10024566e-7 1.51028978e+0
1275 3.74192325e-7 1.51755351e+0
1280 4.43865574e-7 1.52246943e+0
1285 5.20659226e-7 1.52577270e+0
1290 6.06700728e-7 1.52786727e+0
1295 7.04876309e-7 1.52897002e+0
1300 8.19230141e-7 1.52917433e+0
1305 9.55639664e-7 1.52847294e+0
1310 1.12301963e-6 1.52675184e+0
1315 1.33561107e-6 1.52375044e+0
1320 1.61769790e-6 1.51896113e+0
1325 2.01439711e-6 1.51138640e+0
1330 2.62012028e-6 1.49888699e+0
1335 3.67097251e-6 1.47605027e+0
1340 5.96629383e-6 1.42437697e+0
1345 1.47790293e-5 1.21740580e+0
1350 2.31676059e-5 -1.01911237e+0
1355 7.27036112e-6 -1.40983673e+0
1360 4.24932735e-6 -1.47862856e+0
1365 2.99483260e-6 -1.50649136e+0
1370 2.30570628e-6 -1.52136316e+0
1375 1.86772831e-6 -1.53048176e+0
1380 1.56300728e-6 -1.53655000e+0
1385 1.33741928e-6 -1.54080307e+0
1390 1.16263797e-6 -1.54388322e+0
1395 1.02240088e-6 -1.54615539e+0
1400 9.06703009e-7 -1.54784022e+0
1405 8.09048844e-7 -1.54907681e+0
1410 7.25035251e-7 -1.54995476e+0
1415 6.51569510e-7 -1.55053154e+0
1420 5.86413469e-7 -1.55084209e+0
1425 5.27905442e-7 -1.55090414e+0
1430 4.74783914e-7 -1.55072060e+0
1435 4.26072040e-7 -1.55027984e+0
1440 3.80999797e-7 -1.54955380e+0
1445 3.38950174e-7 -1.54849343e+0
1450 2.99421148e-7 -1.54701998e+0
1455 2.61998276e-7 -1.54500900e+0
1460 2.26334598e-7 -1.54226037e+0
1465 1.92135702e-7 -1.53843852e+0
1470 1.59148589e-7 -1.53294313e+0
1475 1.27153659e-7 -1.52459388e+0
1480 9.59602500e-8 -1.51072098e+0
1485 6.54106055e-8 -1.48376401e+0
1490 3.54332788e-8 -1.41084984e+0
1495 7.58984186e-9 -7.34513659e-1
1500 2.53058982e-8 1.34548492e+0
1505 5.47198427e-8 1.46634023e+0
1510 8.45193353e-8 1.50224982e+0
1515 1.14659705e-7 1.51926938e+0
1520 1.45255844e-7 1.52908652e+0
1525 1.76452699e-7 1.53539208e+0
1530 2.08412022e-7 1.53971734e+0
1535 2.41312195e-7 1.54281030e+0
1540 2.75351327e-7 1.54507830e+0
1545 3.10751958e-7 1.54676082e+0
1550 3.47767199e-7 1.54800649e+0
1555 3.86688546e-7 1.54891102e+0
1560 4.27855843e-7 1.54953721e+0
1565 4.71670168e-7 1.54992616e+0
1570 5.18610677e-7 1.55010372e+0
1575 5.69256990e-7 1.55008419e+0
1580 6.24319393e-7 1.54987241e+0
1585 6.84680308e-7 1.54946454e+0
1590 7.51452286e-7 1.54884799e+0
1595 8.26060830e-7 1.54800033e+0
1600 9.10365426e-7 1.54688706e+0
1605 1.00684112e-6 1.54545782e+0
1610 1.11885922e-6 1.54364011e+0
1615 1.25113660e-6 1.54132903e+0
1620 1.41048491e-6 1.53836979e+0
1625 1.60712219e-6 1.53452711e+0
1630 1.85710973e-6 1.52942787e+0
1635 2.18722605e-6 1.52244636e+0
1640 2.64568421e-6 1.51245131e+0
1645 3.32887376e-6 1.49717262e+0
1650 4.46114731e-6 1.47130259e+0
1655 6.70863620e-6 1.41894379e+0
1660 1.32119088e-5 1.26273659e+0
1665 4.22627169e-5 -1.25355914e-1
1670 1.22112915e-5 -1.27162298e+0
1675 6.40537629e-6 -1.41034550e+0
1680 4.30378953e-6 -1.45905262e+0
1685 3.22376633e-6 -1.48345136e+0
1690 2.56478387e-6 -1.49785126e+0
1695 2.11929676e-6 -1.50715391e+0
1700 1.79676304e-6 -1.51348347e+0
1705 1.55142958e-6 -1.51790376e+0
1710 1.35769561e-6 -1.52100092e+0
1715 1.20011865e-6 -1.52311867e+0
1720 1.06882866e-6 -1.52446558e+0
1725 9.57219560e-7 -1.52516816e+0
1730 8.60699748e-7 -1.52529872e+0
1735 7.75975197e-7 -1.52489005e+0
1740 7.00617803e-7 -1.52394240e+0
1745 6.32794757e-7 -1.52242556e+0
1750 5.71092887e-7 -1.52027646e+0
1755 5.14401157e-7 -1.51739237e+0
1760 4.61829956e-7 -1.51361796e+0
1765 4.12654359e-7 -1.50872294e+0
1770 3.66273442e-7 -1.50236380e+0
1775 3.22180717e-7 -1.49401638e+0
1780 2.79942744e-7 -1.48285114e+0
1785 2.39184578e-7 -1.46748684e+0
1790 1.99582961e-7 -1.44546022e+0
1795 1.60873318e-7 -1.41194626e+0
1800 1.22894843e-7 -1.35614963e+0
1805 8.57851467e-8 -1.24859750e+0
1810 5.10560974e-8 -9.79832527e-1
1815 3.02047207e-8 -9.24647570e-2
1820 4.96520204e-8 8.67215746e-1
1825 8.72160077e-8 1.16181226e+0
1830 1.29906225e-7 1.27479212e+0
1835 1.76312312e-7 1.33062176e+0
1840 2.26823484e-7 1.36166885e+0
1845 2.82446118e-7 1.37937680e+0
1850 3.44710267e-7 1.38857187e+0
1855 4.15831617e-7 1.39139160e+0
1860 4.99069463e-7 1.38858716e+0
1865 5.99392637e-7 1.37993637e+0
1870 7.24748274e-7 1.36420604e+0
1875 8.88637091e-7 1.33866224e+0
1880 1.11579108e-6 1.29772081e+0
1885 1.45594044e-6 1.22931225e+0
1890 2.01977698e-6 1.10380234e+0
1895 3.05144805e-6 8.35388388e-1
1900 4.43676947e-6 2.03907927e-1
1905 3.65867532e-6 -5.99906017e-1
1910 2.31996444e-6 -9.94362649e-1
1915 1.58176614e-6 -1.16498458e+0
1920 1.15895759e-6 -1.25139381e+0
1925 8.88082509e-7 -1.29989229e+0
1930 6.98308390e-7 -1.32780418e+0
1935 5.56077277e-7 -1.34242992e+0
1940 4.43800091e-7 -1.34673292e+0
1945 3.51460254e-7 -1.34109709e+0
1950 2.72979677e-7 -1.32337567e+0
1955 2.04524531e-7 -1.28713242e+0
1960 1.43749473e-7 -1.21507017e+0
1965 8.98979723e-8 -1.05146395e+0
1970 4.74802143e-8 -5.51541461e-1
1975 4.52913193e-8 6.06026478e-1
1980 8.25182168e-8 1.13593516e+0
1985 1.27283552e-7 1.30928872e+0
1990 1.73674828e-7 1.38808291e+0
1995 2.21040807e-7 1.43172240e+0
2000 2.69581167e-7 1.45883121e+0
