case_id,note,kind,index,frequency_hz,q_factor,amplitude,abs_z,angle_z_deg,abs_y,angle_y_deg
flow_probe,all_closed,z_resonance,1,132.48449920052258,41.306606490875545,140193192.63632798,140193192.63632798,88.62536120550998,1.541963020160233e-08,89.72907983844141
flow_probe,all_closed,z_resonance,2,392.3913282035871,116.68325986799127,108849409.02004363,108849409.02004363,80.22569288285509,1.3797480946496339e-08,87.35456913276812
flow_probe,all_closed,z_resonance,3,652.4447545425186,191.55943556815228,21207118.712195836,21207118.712195836,71.344732665579,5.9312391520948345e-09,73.00701503102293
flute_probe,all_closed,y_resonance,1,252.58722628118255,75.51095653797819,2.6065793689514395e-05,32339.283969102602,-86.36406158194148,2.6065793689514395e-05,-80.7471193396332
flute_probe,all_closed,y_resonance,2,507.6099237983561,141.0424788802406,8.878087933684225e-06,17055.489089566792,-60.96030600879227,8.878087933684225e-06,-59.879077414784064
flute_probe,all_closed,y_resonance,3,762.7674730323074,180.8897931063701,1.0864007328878704e-05,23029.11648600941,-35.04519790571864,1.0864007328878704e-05,-37.828698940599665
recorder_probe,all_closed,y_resonance,1,232.41569294912046,69.86722958435831,2.986186296571825e-05,44160.285030748964,87.65933927661327,2.986186296571825e-05,82.04883598903824
recorder_probe,all_closed,y_resonance,2,467.4401169172256,136.46636301715705,4.615066143336632e-06,24832.654929148102,70.5250759709838,4.615066143336632e-06,69.15781904134013
recorder_probe,all_closed,y_resonance,3,711.9248937128223,169.02963409503758,1.4692175994072488e-05,62518.451328215655,68.45640337083694,1.4692175994072488e-05,47.17505469711473
