case_id,note,frequency_hz,re_z,im_z,abs_z,angle_z_rad,angle_z_deg,abs_y,angle_y_rad,angle_y_deg
base2,all_open,100.0,131.65643756772042,1585387.1670632092,1585387.172529829,1.5707132830816635,89.99524194571664,6.307607487477542e-07,-1.5707132830816635,-89.99524194571664
base2,all_open,105.0,157.36750570701625,1713967.1000170745,1713967.1072414056,1.5707045120189518,89.99473940084142,5.834417683834547e-07,-1.5707045120189518,-89.99473940084142
base2,all_open,110.0,188.47821811787506,1853723.2738951629,1853723.2834769702,1.5706946513074478,89.99417442368924,5.394548414606583e-07,-1.5706946513074478,-89.99417442368924
base2,all_open,115.0,226.41881505666697,2006665.1271739684,2006665.1399477688,1.570683493412271,89.99353512338737,4.983392495800415e-07,-1.570683493412271,-89.99353512338737
base2,all_open,120.0,273.10280533172164,2175289.194884218,2175289.212027948,1.5706707789805927,89.9928066401133,4.597089869570649e-07,-1.5706707789805927,-89.9928066401133
base2,all_open,125.0,331.13087838393386,2362738.689514874,2362738.7127183834,1.570656179736872,89.99197016506402,4.232376583229881e-07,-1.570656179736872,-89.99197016506402
base2,all_open,130.0,404.10107221337046,2573029.995004822,2573030.0267373854,1.5706392741877855,89.99100154845101,3.8864684422979894e-07,-1.5706392741877855,-89.99100154845101
base2,all_open,135.0,497.09282971474755,2811381.2954336144,2811381.3393802107,1.5706195123495057,89.98986927852215,3.556970326268357e-07,-1.5706195123495057,-89.98986927852215
base2,all_open,140.0,617.4448002449016,3084701.4676111112,3084701.529406083,1.5705961632463388,89.98853147345528,3.241804727190369e-07,-1.5705961632463388,-89.98853147345528
base2,all_open,145.0,776.0472015644139,3402338.519260281,3402338.6077654734,1.5705682345037524,89.98693127437797,2.939154844017015e-07,-1.5705682345037524,-89.98693127437797
base2,all_open,150.0,989.5741687406551,3777263.9652050086,3777264.094830185,1.5705343450654712,89.98498955259439,2.647418806031239e-07,-1.5705343450654712,-89.98498955259439
base2,all_open,155.0,1284.5196197252872,4228021.267243058,4228021.462368688,1.5704925157449958,89.98259290907124,2.3651724781921162e-07,-1.5704925157449958,-89.98259290907124
base2,all_open,160.0,1704.9009744243135,4782082.724779584,4782083.028693947,1.5704398083069675,89.97957299532328,2.0911389325523986e-07,-1.5704398083069675,-89.97957299532328
base2,all_open,165.0,2327.9659190358307,5481965.370618084,5481965.8649138985,1.5703716678228472,89.97566883316921,1.8241631280491495e-07,-1.5703716678228472,-89.97566883316921
base2,all_open,170.0,3298.9460943254517,6397171.3875135,6397172.238127306,1.5702806385942756,89.97045324255973,1.5631906767180268e-07,-1.5702806385942756,-89.97045324255973
base2,all_open,175.0,4916.431940789214,7649645.662222272,7649647.242119015,1.570153626272422,89.96317597257136,1.3072498225722e-07,-1.570153626272422,-89.96317597257136
base2,all_open,180.0,7873.402168715153,9474754.578635946,9474757.849984586,1.5699653395338473,89.95238793711275,1.0554359444675696e-07,-1.5699653395338473,-89.95238793711275
base2,all_open,185.0,14085.038987560058,12393131.611023298,12393139.614983292,1.569659807522351,89.93488224234785,8.068980347732074e-08,-1.569659807522351,-89.93488224234785
base2,all_open,190.0,30537.821107466363,17830793.219376646,17830819.369582716,1.5690836833429518,89.90187275839284,5.608267232552883e-08,-1.5690836833429518,-89.90187275839284
base2,all_open,195.0,100636.61721704311,31601046.531378817,31601206.77453781,1.56761173995181,89.81753661439825,3.164436115160435e-08,-1.56761173995181,-89.81753661439825
base2,all_open,200.0,1987867.2825073611,136980398.35410148,136994821.61593258,1.55628528889545,89.16857877200732,7.299545984325727e-09,-1.55628528889545,-89.16857877200732
base2,all_open,205.0,384634.1116770362,-58723017.28024396,58724276.93804068,-1.564246448585438,-89.62471962227332,1.702873244493225e-08,1.564246448585438,89.62471962227332
base2,all_open,210.0,68616.17985895029,-24147556.53227648,24147654.01979304,-1.567954797255811,-89.83719235004864,4.141189033022971e-08,1.567954797255811,89.83719235004864
base2,all_open,215.0,28620.70101388901,-15168353.592314739,15168380.594052022,-1.568909459715097,-89.8918904798253,6.59266158176523e-08,1.568909459715097,89.8918904798253
